docId;query_id;label 
doc_34729;1;1 
doc_19653;1;0 
doc_33904;1;1 
doc_9676;1;1 
doc_40582;1;0 
doc_33299;1;1 
doc_39111;1;0 
doc_30422;1;1 
doc_30746;1;0 
doc_13095;1;1 
doc_30537;1;0 
doc_48059;1;0 
doc_47845;1;0 
doc_48027;1;0 
doc_48113;1;0 
doc_47841;1;0 
doc_47837;1;0 
doc_48089;1;0 
doc_21486;1;0 
doc_48070;1;0 
doc_6913;1;1 
doc_43279;1;1
doc_45537;1;1 
doc_29115;1;1 
doc_445;1;1 
doc_45291;1;1 
doc_11632;1;1 
doc_5552;1;1 
doc_42736;1;1 
doc_43187;2;0 
doc_38864;2;0 
doc_31878;2;1 
doc_47396;2;0 
doc_25965;2;1 
doc_15877;2;0 
doc_3699;2;1 
doc_47423;2;0 
doc_30210;2;1 
doc_26697;2;0 
doc_24459;2;0 
doc_41375;2;0 
doc_45741;2;0 
doc_2815;2;0 
doc_15412;2;0 
doc_8769;2;0 
doc_30390;2;0 
doc_28796;2;0 
doc_590;2;0 
doc_22998;2;1 
doc_4323;2;1 
doc_25607;2;1 
doc_47678;2;1 
doc_25208;2;1 
doc_24518;2;1 
doc_33745;2;1 
doc_1267;2;1 
doc_26981;2;1 
doc_43922;2;1 
doc_47822;2;1 
doc_38416;3;1 
doc_14534;3;1 
doc_21757;3;1 
doc_38416;3;1 
doc_13426;3;1 
doc_27824;3;1 
doc_18020;3;1 
doc_46039;3;1 
doc_47946;3;1 
doc_35798;3;1 
doc_33368;3;1 
doc_6415;3;1 
doc_43268;3;1 
doc_27483;3;1 
doc_12075;3;1 
doc_30534;3;0 
doc_38281;3;0 
doc_38126;3;0 
doc_42270;3;0 
doc_37310;3;0 
doc_11748;3;0 
doc_33466;3;0 
doc_37884;3;0 
doc_5807;3;0 
doc_14625;3;0 
doc_41720;3;0 
doc_35053;3;0 
doc_28280;3;0 
doc_45258;3;0 
doc_11016;3;0 
doc_14701;4;1 
doc_14671;4;1 
doc_14680;4;1 
doc_37261;4;1 
doc_395464;4;1 
doc_455;4;1 
doc_4771;4;1 
doc_4846;4;1 
doc_4422;4;1 
doc_4383;4;1 
doc_4352;4;1 
doc_4431;4;1 
doc_4824;4;1 
doc_4904;4;1 
doc_14464;4;1 
doc_3011;4;1 
doc_41239;4;0 
;4;0 
;4;0 
;4;0 
;4;0 
;4;0 
;4;0 
;4;0 
;4;0 
;4;0 
;4;0 
;4;0 
;4;0 
;4;0 
;4;0 
doc_17391;5;1 
doc_41999;5;1 
doc_24125;5;1
doc_48150;5;0 
doc_30422;5;0
doc_39111;5;0 
doc_30746;5;0 
doc_13095;5;0 
doc_30537;5;0
doc_48079;5;0 
doc_48113;5;0 
doc_48093;5;0 
doc_48165;5;0
doc_48070;5;0
doc_48027;5;0
doc_30908;5;0 
doc_31745;5;0 
doc_22798;5;0 
doc_21433;5;0 
doc_27740;5;0 
doc_41180;5;0 
doc_29698;5;0 
doc_48089;5;0 
doc_47841;5;0 
doc_48074;5;0 
doc_48084;5;0 
doc_48059;5;0 
doc_40582;5;0 
doc_19653;5;0 
doc_33904;5;0 
doc_38749;6;0
doc_38674;6;1
doc_30248;6;1
doc_21716;6;1
doc_34924;6;0
doc_16515;6;0
doc_18036;6;1
doc_20046;6;1
doc_15833;6;0
doc_27381;6;0
doc_3458;6;1
doc_38749;6;0
doc_2500;6;1
doc_3937;6;1
doc_6996;6;1
doc_43156;6;1
doc_17917;6;0
doc_27313;6;1
doc_28263;6;1
doc_6477;6;1
doc_4033;6;1
doc_46526;6;1
doc_15328;6;0
doc_46478;6;0
doc_7972;6;0
doc_35165;6;0
doc_11657;6;0
doc_4107;6;0
doc_32845;6;0
doc_34703;6;0



